                          RANK  COUNT  ZIPF FREQUENCY
und                          1    643             643
die                          2    594            1188
der                          3    548            1644
ich                          4    466            1864
er                           5    448            2240
sie                          6    391            2346
in                           7    374            2618
zu                           8    336            2688
das                          9    279            2511
den                         10    269            2690
ein                         11    262            2882
auf                         12    259            3108
sich                        13    252            3276
mit                         14    213            2982
es                          15    207            3105
                            16    198            3168
von                         17    197            3349
nicht                       18    186            3348
war                         19    183            3477
dem                         20    173            3460
ist                         21    172            3612
mir                         22    155            3410
an                          23    147            3381
daß                         24    136            3264
wie                         25    130            3250
eine                        26    126            3276
so                          27    123            3321
aber                        28    112            3136
wir                         29    110            3190
noch                        30    105            3150
sein                        31    102            3162
nach                        32    100            3200
als                         33     97            3201
im                          34     94            3196
holmes                      35     90            3150
des                         36     87            3132
aus                         37     86            3182
um                          38     85            3230
haben                       39     84            3276
ihn                         40     83            3320
was                         41     82            3362
einen                       42     79            3318
auch                        43     78            3354
ihm                         44     78            3432
hatte                       45     77            3465
seine                       46     75            3450
mich                        47     72            3384
hat                         48     72            3456
sagte                       49     71            3479
wenn                        50     68            3400
doch                        51     65            3315
nur                         52     64            3328
für                         53     61            3233
man                         54     61            3294
einer                       55     58            3190
ihr                         56     58            3248
einem                       57     57            3249
über                        58     57            3306
bei                         59     56            3304
schon                       60     55            3300
vor                         61     55            3355
habe                        62     54            3348
mein                        63     53            3339
sind                        64     53            3392
jetzt                       65     52            3380
uns                         66     52            3432
ihnen                       67     52            3484
denn                        68     51            3468
da                          69     48            3312
rief                        70     48            3360
am                          71     48            3408
meine                       72     47            3384
wieder                      73     45            3285
hier                        74     42            3108
dann                        75     42            3150
alles                       76     41            3116
mann                        77     38            2926
wohl                        78     38            2964
durch                       79     37            2923
bis                         80     37            2960
sehr                        81     37            2997
sah                         82     37            3034
waren                       83     37            3071
ja                          84     37            3108
mehr                        85     37            3145
kam                         86     37            3182
ihre                        87     37            3219
lestrade                    88     36            3168
etwas                       89     35            3115
bald                        90     34            3060
du                          91     34            3094
gregson                     92     34            3128
nichts                      93     33            3069
seinen                      94     32            3008
oder                        95     31            2945
ganz                        96     31            2976
seinem                      97     31            3007
seiner                      98     31            3038
keine                       99     30            2970
hand                       100     30            3000
nun                        101     30            3030
augen                      102     30            3060
fort                       103     30            3090
fragte                     104     29            3016
alle                       105     29            3045
menschen                   106     28            2968
können                     107     28            2996
wird                       108     28            3024
sherlock                   109     27            2943
weiß                       110     27            2970
zum                        111     26            2886
kann                       112     26            2912
zur                        113     26            2938
welche                     114     26            2964
stangerson                 115     26            2990
kein                       116     25            2900
werden                     117     25            2925
zwei                       118     25            2950
unter                      119     25            2975
zimmer                     120     25            3000
meiner                     121     24            2904
gesicht                    122     24            2928
kommen                     123     24            2952
uhr                        124     24            2976
stand                      125     23            2875
sei                        126     23            2898
hätte                      127     23            2921
während                    128     23            2944
schien                     129     23            2967
einmal                     130     23            2990
kleine                     131     23            3013
gewesen                    132     23            3036
wäre                       133     22            2926
ohne                       134     22            2948
bin                        135     22            2970
mensch                     136     22            2992
selbst                     137     22            3014
ihrer                      138     22            3036
worden                     139     21            2919
sehen                      140     21            2940
fuhr                       141     21            2961
großen                     142     20            2840
machen                     143     20            2860
würde                      144     20            2880
muß                        145     20            2900
beiden                     146     20            2920
ließ                       147     20            2940
wurde                      148     20            2960
große                      149     19            2831
eines                      150     19            2850
gegen                      151     19            2869
will                       152     19            2888
wo                         153     19            2907
ging                       154     19            2926
zeit                       155     19            2945
diese                      156     18            2808
gut                        157     18            2826
dort                       158     18            2844
andern                     159     18            2862
meinen                     160     18            2880
ins                        161     18            2898
dabei                      162     18            2916
hause                      163     18            2934
fall                       164     18            2952
drebber                    165     18            2970
andere                     166     17            2822
gleich                     167     17            2839
lag                        168     17            2856
zwar                       169     17            2873
droschke                   170     17            2890
keinen                     171     17            2907
herr                       172     17            2924
sache                      173     17            2941
hin                        174     17            2958
