              RANK  COUNT  ZIPF FREQUENCY
8AM              1    346             346
TOE              2    155             310
TOR              3    128             384
8G               4     83             332
8AR              5     76             380
HZG              6     75             450
TG               7     74             518
SO               8     65             520
SOE              9     64             576
OR              10     64             640
8AN             11     64             704
2               12     61             732
SG              13     53             689
SOR             14     50             700
TCG             15     43             645
8AE             16     43             688
4OHTG           17     40             680
OE              18     38             684
HZOR            19     38             722
ODAM            20     37             740
HZOE            21     37             777
4ODTG           22     35             770
AR              23     33             759
8OE             24     33             792
2AM             25     32             800
AM              26     32             832
ODG             27     31             837
SCG             28     30             840
8OR             29     29             841
DTG             30     27             810
TAM             31     27             837
TC8G            32     27             864
OHTG            33     26             858
TCOR            34     26             884
OHAM            35     25             875
T8G             36     24             864
TDZG            37     24             888
DZG             38     23             874
4OHG            39     23             897
TO              40     23             920
OHG             41     23             943
4ODC8G          42     23             966
TAR             43     21             903
8AK             44     21             924
4ODG            45     21             945
4ODAM           46     21             966
SO8G            47     20             940
8AIR            48     20             960
8TG             49     20             980
HTG             50     20            1000
TO8G            51     19             969
8TOR            52     19             988
HZCG            53     18             954
TO8AM           54     18             972
OHOE            55     17             935
TOHG            56     17             952
ODAE            57     17             969
4ODOE           58     17             986
R               59     17            1003
2G              60     16             960
OHTOE           61     16             976
O8AM            62     16             992
ODOE            63     16            1008
SCCG            64     16            1024
DTOR            65     16            1040
ODAR            66     16            1056
SC8G            67     16            1072
G               68     15            1020
4OHOE           69     15            1035
TCAR            70     14             980
TOHZG           71     14             994
OHTOR           72     14            1008
ODTG            73     14            1022
K               74     14            1036
TCDG            75     14            1050
GDAM            76     13             988
DAM             77     13            1001
TCOE            78     13            1014
HTOR            79     13            1027
GDTG            80     13            1040
OHOR            81     13            1053
4OHOR           82     13            1066
4ODTOE          83     13            1079
8               84     12            1008
DOE             85     12            1020
SAM             86     12            1032
DG              87     12            1044
HZO             88     12            1056
2OR             89     12            1068
THZG            90     12            1080
ODTOR           91     12            1092
4ODAR           92     12            1104
HZAR            93     11            1023
8TOE            94     11            1034
GHTG            95     11            1045
O8G             96     11            1056
HAM             97     11            1067
TCCG            98     11            1078
4OHTOR          99     11            1089
HZAM           100     10            1000
ODTCG          101     10            1010
DCCG           102     10            1020
4OHAM          103     10            1030
4ODCCG         104     10            1040
ODOR           105     10            1050
TORG           106     10            1060
GHTOR          107     10            1070
DTOE           108     10            1080
ORAM           109     10            1090
TOM            110     10            1100
ODC8G          111     10            1110
GHAM           112      9            1008
SC             113      9            1017
DOR            114      9            1026
TODG           115      9            1035
AE             116      9            1044
GDG            117      9            1053
TAL            118      9            1062
OHAE           119      9            1071
2AR            120      9            1080
RAM            121      9            1089
ODAK           122      9            1098
OHC8G          123      9            1107
HTCG           124      8             992
ODCCG          125      8            1000
AK             126      8            1008
8O             127      8            1016
8AL            128      8            1024
HZOK           129      8            1032
TOK            130      8            1040
SCOE           131      8            1048
TCO8G          132      8            1056
8OM            133      8            1064
TODTG          134      8            1072
PZOE           135      8            1080
G8AM           136      8            1088
DTCG           137      8            1096
8TCG           138      8            1104
8A             139      8            1112
TAN            140      8            1120
OHCOE          141      7             987
DSG            142      7             994
8AIM           143      7            1001
GDCCG          144      7            1008
TCC2           145      7            1015
TAK            146      7            1022
4ODTOR         147      7            1029
OEG            148      7            1036
ODCOE          149      7            1043
GHG            150      7            1050
4OHTOE         151      7            1057
OAM            152      7            1064
GHOR           153      7            1071
GTOR           154      7            1078
DT8G           155      7            1085
OHAK           156      7            1092
TOHTG          157      7            1099
4OHTCG         158      7            1106
OHAR           159      7            1113
HTOE           160      7            1120
TDAM           161      7            1127
OPTG           162      7            1134
SOHZG          163      7            1141
HOE            164      7            1148
ODAN           165      7            1155
GDAR           166      7            1162
ODCC8G         167      7            1169
S8G            168      7            1176
SCDG           169      6            1014
SO8            170      6            1020
PZG            171      6            1026
OM             172      6            1032
DZOR           173      6            1038
SCO            174      6            1044
GDOE           175      6            1050
4ODCG          176      6            1056
DCOE           177      6            1062
4OHTO          178      6            1068
THG            179      6            1074
DZOE           180      6            1080
2OM            181      6            1086
4OAM           182      6            1092
DAR            183      6            1098
GTOE           184      6            1104
8OK            185      6            1110
4ODOR          186      6            1116
4ODTO          187      6            1122
TDCCG          188      6            1128
2OE            189      6            1134
2AIR           190      6            1140
SCAM           191      6            1146
GHOE           192      6            1152
HOR            193      6            1158
HZO8G          194      6            1164
ODSG           195      6            1170
SOHG           196      6            1176
8SG            197      6            1182
0              198      6            1188
8SOR           199      6            1194
DC8G           200      6            1200
SORG           201      5            1005
S              202      5            1010
G8AN           203      5            1015
ODSO           204      5            1020
DZCG           205      5            1025
HZAE           206      5            1030
SCAR           207      5            1035
8TO            208      5            1040
TDAR           209      5            1045
SO8AM          210      5            1050
4OG            211      5            1055
GTCOR          212      5            1060
TAE            213      5            1065
4O8AM          214      5            1070
4ODTCG         215      5            1075
SAR            216      5            1080
TOHAM          217      5            1085
O2             218      5            1090
2O2            219      5            1095
HG             220      5            1100
TOG            221      5            1105
TGHG           222      5            1110
8SO            223      5            1115
SOM            224      5            1120
DSO            225      5            1125
TE             226      5            1130
TO2            227      5            1135
ODCOR          228      5            1140
OHTCG          229      5            1145
TPZG           230      5            1150
TCO2           231      5            1155
GHC8G          232      5            1160
TCDZG          233      5            1165
GDOR           234      4             936
SOE8G          235      4             940
OHCCG          236      4             944
PZAR           237      4             948
O8AR           238      4             952
ODTO           239      4             956
8TAR           240      4             960
2TG            241      4             964
GTCCG          242      4             968
8TAM           243      4             972
4O             244      4             976
OHTO           245      4             980
8AE2           246      4             984
SAL            247      4             988
